chembl_id,smiles,mw,hbd,hba,logp,rotb,ar
CHEMBL104234,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)[C@@H](c2cccc([N+](=O)[O-])c2)CC3[C@H]1C5,408.4540000000002,2,6,2.724000000000001,2,2
CHEMBL82108,O=C(O)c1ccc(O)cc1C(=O)c1ccc(O)cc1,258.229,3,4,2.027,3,2
CHEMBL326667,CCCCCCCCOc1ccc2[nH]cc(CCN)c2c1,288.43500000000006,2,2,4.408400000000003,10,2
CHEMBL6385,COc1ccc2cc3n(c2c1)CCNC3,202.257,1,2,1.7531,1,2
CHEMBL96417,CC#CCOc1ccc(S(=O)(=O)N[C@@H](C(=O)NO)C(C)O)cc1,342.37300000000005,4,6,-0.378199999999999,7,1
CHEMBL70838,COc1cc2c(cc1OC)C1=NC(CN3CCN(c4ccccc4)CC3)CN1C(=O)N2,421.50100000000015,1,6,2.5023,5,2
CHEMBL41352,CNC(C(=O)O)c1cc(O)no1,172.14,3,5,-0.2747000000000004,3,1
CHEMBL92684,O=C(O)CN1C(C(=O)O)Nc2cc(Cl)cc(Cl)c2S1(=O)=O,355.1550000000001,3,5,0.9049,3,1
CHEMBL297887,O=C1C2CCCN2C(=O)N1CN1CCN(c2cccc(Cl)c2)CC1,348.83400000000006,0,4,1.8461,3,1
CHEMBL327642,CN(C(=O)C[C@@H](N)c1csc(CN)n1)C1CN=C(NC(N)=O)NC1=O.O=S(=O)(O)C(F)(F)F,518.5000000000001,6,10,-1.633199999999995,5,1
CHEMBL420364,Cc1cc2ncc(-c3ccc(O)c(O)c3)nc2cc1C,266.3,2,4,3.3248400000000027,1,3
CHEMBL55856,CC(C)CCNC(P(=O)(O)O)P(=O)(O)O,261.15099999999995,5,3,0.2610999999999997,6,0
CHEMBL34480,CCc1cc(/C=C/C(=O)O)ccc1NC(=O)c1cccc(NC2=NCCN2)c1,378.4320000000002,4,5,2.970200000000001,6,2
CHEMBL328754,Cl.c1ccc2cnccc2c1,165.62300000000002,0,1,2.6566,0,2
CHEMBL266957,Cc1cc(=O)n(C(=O)OC(C)(C)C)c2c3c(ccc12)OC(C)(C)C=C3,341.4070000000001,0,4,4.277320000000004,0,2
CHEMBL39679,O=C1NC(=O)/C(=C/c2ccccc2C(F)(F)F)N1,256.18299999999994,2,2,1.8856999999999997,1,1
CHEMBL75378,CCN(CC)COOC(C)(C)C,175.272,0,3,2.0324,5,0
CHEMBL20346,CSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CSCC2,341.4610000000002,0,5,3.4715000000000016,3,3
CHEMBL24216,CCC1NC(=O)C(CCN(C(C)C)C(C)C)(c2ccccc2)C2CCCCN12,385.5960000000002,1,3,4.153700000000003,7,1
CHEMBL289480,C1COC(NC(C2CC2)C2CC2)=N1,180.251,1,3,1.1507999999999994,3,0
CHEMBL294697,Cc1cc(C)c2c(c1)NC(C(=O)O)CC2=O,219.24,2,3,1.7549399999999995,1,1
CHEMBL74830,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cccc3c1c2CCS3,406.46300000000014,1,6,2.727800000000001,1,3
CHEMBL109799,O=C(CC(c1ccccc1)c1ccccc1)OCCN1CCCCCC1,351.49000000000024,0,3,4.627800000000004,7,2
CHEMBL289058,CCC(N)P(=O)(O)O,139.09099999999998,3,2,-0.1411,2,0
CHEMBL41444,COc1cccc2c1CC[C@H]1CN(CCn3c(=O)[nH]c4c(sc5ccc(Cl)cc54)c3=O)C[C@@H]21,482.0050000000001,1,5,4.2283000000000035,4,4
CHEMBL73214,CCSc1ccc2ncc(-c3ccnc(Nc4ccc(S(=O)(=O)NCCOC)cc4)n3)n2c1,484.60700000000026,2,8,3.571600000000002,10,4
CHEMBL276615,COc1ccc2c(-c3ccc4c(c3)OCO4)c(C(=O)O)n(-c3ccccc3)c2c1,387.391,1,4,4.733000000000003,4,4
CHEMBL79098,c1ccc(CCN2CCC(c3cc(-c4ccncc4)[nH]n3)CC2)cc1,332.45100000000014,1,3,3.8938000000000024,5,3
CHEMBL99177,COc1ccccc1N1CCN(CC(=O)N2CCCOc3c2cnn(C)c3=O)CC1,413.4780000000002,0,7,0.7266000000000006,4,2
CHEMBL110426,CCCOC1=Nc2c(cnn2-c2ccccc2)C2=N[C@@H](Cc3ccccc3)CN12,385.4710000000001,0,5,3.973500000000003,5,3
CHEMBL62697,COc1cc(NCc2ccc3ncnc(O)c3c2)cc(OC)c1OC,341.36700000000013,2,7,2.973300000000001,6,3
CHEMBL98615,O=C(O)c1ccc2ccc(C(=O)O)cc2c1,216.192,2,2,2.2362,2,2
CHEMBL74915,Cc1ccc(N)c(C(=O)NCCCCn2ccnc2)c1,272.352,2,3,1.98392,6,2
CHEMBL415866,C[C@@H]1Cc2cc(Br)cc3[nH]c(=O)c(=O)n(c23)[C@@H]1CC(=O)Nc1ccccc1,428.2860000000001,2,3,3.2144000000000013,3,3
CHEMBL417960,CC(=O)OCC1C2CC3CCC1N3C/C2=C\c1ccc(Cl)c(Cl)c1,366.288,0,3,4.4226000000000045,3,1
CHEMBL63857,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,318.32800000000003,2,4,3.560100000000002,2,3
