chembl_id,smiles,mw,hbd,hba,logp,rotb,ar
CHEMBL48144,N#Cc1ccnc(-c2nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c(=N)s2)c1,416.215,1,5,4.67255,2,3
CHEMBL432120,CN1CC[C@]23CCCC[C@H]2[C@H]1C(=O)c1ccc(O)cc13,271.36,1,3,2.720600000000001,0,1
CHEMBL47281,CCN(CC)C(=O)/C=C(\C)c1ccc(OC(C)C)cc1,275.392,0,2,3.7455000000000025,6,1
CHEMBL47736,CCN(CC)C(=O)/C=C(\C)c1ccc(OCc2ccccc2)cc1,323.436,0,2,4.537300000000004,7,2
CHEMBL47738,CCNC(=O)/C=C(\C)c1ccc(OC(C)c2ccccc2)cc1,309.409,1,2,4.366000000000003,6,2
CHEMBL443789,Nc1nc(=O)n(C2CC(CO)C(O)C2O)cc1Cl,275.692,4,6,-1.2459999999999996,2,1
CHEMBL50373,C[C@@H]1C(=O)N(c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,440.4120000000002,0,7,3.2654000000000023,5,2
CHEMBL300091,CNC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,331.37199999999996,1,4,1.5837999999999994,2,1
CHEMBL298789,C[C@@H]1C(=O)N(C(=O)C(C)(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,358.43800000000005,0,4,2.817100000000001,2,1
CHEMBL446658,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,342.395,0,4,2.181,3,1
CHEMBL299812,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)C1(CC(=O)NO)CCCC1,377.4410000000002,4,5,0.9243999999999998,8,1
CHEMBL49319,CC(C)(O)COc1ncc(C(F)(F)F)cc1-c1ccc(S(C)(=O)=O)cc1,389.3950000000001,1,5,3.3206000000000016,5,2
CHEMBL288761,CNC(=O)NN(CCC#N)c1nc2ccccc2o1,259.269,2,5,1.3918799999999998,4,2
CHEMBL48710,C/C=N\N(CCC#N)c1nc2ccccc2o1,228.255,0,5,2.55358,4,2
CHEMBL48846,O=S1(=O)N=C(/C=C/c2ccccc2)Nc2ccccc21,284.34000000000003,1,3,2.912700000000001,2,2
CHEMBL301733,CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)Oc1ccc([N+](=O)[O-])cc1,368.2380000000001,0,8,4.105400000000003,8,2
CHEMBL46097,CO[C@@]12C(COC(N)=O)C3=C(C(=O)C(C)=C(OCCSSCCO)C3=O)N1CC1NC12,471.5570000000002,3,11,-0.2195999999999981,10,0
CHEMBL432883,CCCCCN1CC(=O)N(C)[C@@H](Cc2ccc(-c3cc(OC)c(OC)c(OC)c3)cc2)C1=O,454.56700000000023,0,5,3.7813000000000025,10,2
CHEMBL49146,Nc1ccn(C2CC(O)C(CO)C2)c(=O)n1,225.24799999999996,3,5,-0.8701999999999999,2,1
CHEMBL49147,Nc1nc(=O)n(C2CC(CO)C(O)C2O)cc1Br,320.14300000000003,4,6,-1.1368999999999996,2,1
CHEMBL48407,CCN(CC)C(=O)/C=C(\C)c1ccc(O[C@H](C)c2ccccc2)c(CC(=O)O)c1,395.49900000000014,1,3,4.725400000000004,9,2
CHEMBL48408,CCN(CC)C(=O)/C=C(\C)c1ccc(O[C@@H](C)c2ccccc2)c(CC(=O)O)c1,395.49900000000014,1,3,4.725400000000004,9,2
CHEMBL50389,CCN(CC)C(=O)/C=C(\C)c1ccc(OC(C)c2ccccc2)c(CC(=O)O)c1,395.49900000000014,1,3,4.725400000000004,9,2
CHEMBL298350,CCN(CC)C(=O)/C=C(\C)c1ccc(SCc2ccccc2)c(OCC(=O)O)c1,413.53900000000016,1,4,4.714000000000003,10,2
CHEMBL300888,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)[C@@]1(CC(=O)NO)CCc2ccccc21,425.4850000000002,4,5,1.2482000000000009,8,2
CHEMBL433479,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)C1(CC(=O)NO)Cc2ccccc2C1,425.4850000000002,4,5,1.1492000000000009,8,2
CHEMBL299157,C[N+]1(C)CCN(C(=O)CCCCC(=O)N2CC[N+](C)(C)CC2)CC1.[Br-].[Br-],500.3200000000001,0,2,-5.608000000000008,5,0
CHEMBL48295,O=C(CCC(=O)N1CC[N+]2(CCCC2)CC1)N1CC[N+]2(CCCC2)CC1.[Br-].[Br-],524.3420000000002,0,2,-5.319800000000006,3,0
CHEMBL298518,C(=C1c2ccccc2-c2ccccc21)C1CCCNC1,261.368,1,1,4.098300000000004,1,2
CHEMBL296364,N#CCCN(N)c1nc(-c2ccccc2)c(-c2ccccc2)o1,304.35300000000007,1,5,3.602380000000002,5,3
CHEMBL416270,Cn1c2c(c(=O)n3nc(-c4ccccc4)cc13)CN(C1CCCCC1)C2=O,362.4330000000003,0,3,2.988500000000002,2,3
CHEMBL295011,O=C1c2c(c(=O)n3nccc3n2Cc2ccccc2)CN1C1CCCCC1,362.4330000000003,0,3,2.8328000000000007,3,3
CHEMBL295392,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)C1(CC(=O)NO)CCCCC1,391.46800000000025,4,5,1.3144999999999991,8,1
CHEMBL47515,NNC(=O)NN1C(=O)c2cc(S(=O)(=O)O)cc3c(N)c(S(=O)(=O)O)cc(c23)C1=O,445.39100000000025,6,9,-1.400699999999999,3,2
CHEMBL47327,N#CCCN(N)c1nc2c(ccc3ccccc32)o1,252.277,1,5,2.5747800000000005,3,3
CHEMBL297379,Oc1nc(/C=C/c2ccccc2)nc2sccc12,254.314,1,4,3.5673000000000012,2,3
CHEMBL47353,Oc1nc(/C=C/c2ccccc2)nc2ccc3ncccc3c12,299.333,1,4,4.054000000000002,2,4
CHEMBL47813,O=c1[nH]c(=O)c2nc(/C=C/c3ccccc3)nc(O)c2[nH]1,282.259,3,5,0.8824000000000001,2,3
CHEMBL297477,O=C(CCCCC(=O)N1CC[N+]2(CCCC2)CC1)N1CC[N+]2(CCCC2)CC1.[Br-].[Br-],552.3960000000002,0,2,-4.539600000000001,5,0
CHEMBL47814,C[N+]1(C)CCN(c2ccccc2)CC1.[I-],318.202,0,1,-1.412999999999997,1,1
CHEMBL48060,CO[C@@]12C(COC(N)=O)C3=C(C(=O)C(C)=C(OCC4CCC4)C3=O)N1CC1NC12,403.4350000000002,2,8,0.2068000000000012,6,0
CHEMBL300033,NC(=O)c1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3,324.4680000000001,1,2,3.2539000000000025,3,1
CHEMBL50601,Nc1ccn(C2CC(CO)CC2O)c(=O)n1,225.248,3,5,-0.8701999999999999,2,1
CHEMBL50712,Nc1nc(=O)n(C2CC(O)C(CO)C2)cc1Br,304.144,3,5,-0.1077000000000003,2,1
CHEMBL301184,CC(C)(C)c1cnc(CSc2cnc(NC(=O)CCN)s2)o1,340.4740000000001,2,7,3.0082000000000004,6,2
CHEMBL48796,CC(C)(C)c1cnc(CSc2cnc(NC(=O)c3ccccc3)s2)o1,373.503,1,6,4.973200000000004,5,3
CHEMBL49335,N#CCCN(N)c1nc(-c2ccccc2)co1,228.255,1,5,1.93538,4,2
CHEMBL50549,N#CCCN(N)c1nccs1,168.22500000000002,1,5,0.73688,3,1
CHEMBL50124,N#CCCN(N)c1ncco1,152.157,1,5,0.2683799999999999,3,1
CHEMBL300649,CN1CCC23c4c5ccc(O)c4OC2/C(=N/O)CCC3(O)C1C5,316.3570000000001,3,6,1.0063,0,1
CHEMBL50543,C=CCCCCn1c2c(c(=O)n3nc(-c4ccccc4)cc13)CN(C1CCCCC1)C2=O,430.5520000000003,0,3,4.807800000000005,7,3
CHEMBL48699,CO/N=C1\CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3C)C1O5,330.38400000000007,2,6,1.1785,1,1
CHEMBL48700,CO[C@@]12C(COC(N)=O)C3=C(C(=O)C(C)=C(OC(C)C)C3=O)N1CC1NC12,377.3970000000001,2,8,-0.1848999999999984,5,0
CHEMBL300887,O=C1c2c(c(=O)n3nc(-c4ccccc4)cc3n2Cc2ccccc2)CN1c1ccccc1,432.4830000000002,0,3,4.371700000000003,4,5
CHEMBL301370,CC[C@H]1C(=O)Nc2ccc(F)cc2N1C(=O)OC(C)C,280.299,1,3,2.907800000000001,2,1
CHEMBL46087,N#CCCN(N)c1nc2cc3ccccc3cc2o1,252.277,1,5,2.5747800000000005,3,3
CHEMBL45973,Cc1nc(N(N)CCC#N)oc1C,180.211,1,5,0.88522,3,1
CHEMBL46141,CC(=O)[O-].Cc1c2cc[n+](C)cc2c(C)c2c1[nH]c1ccccc12,320.39200000000005,1,2,2.6718400000000004,0,4
CHEMBL296255,Cl.c1cnc2c(c1)ccc1c3ccccc3[nH]c12,254.72000000000003,1,1,4.291100000000002,0,4
